"Selected Nomen","Native Nomen","Reporter","Reporter Name","Product","Product Name","Partner","Partner Name","Tariff Year","Trade Year","Trade Source","DutyType","Simple Average","Weighted Average","Standard Deviation","Minimum Rate","Maximum Rate","Nbr of Total Lines","Nbr of DomesticPeaks","Nbr of InternationalPeaks","Imports Value in 1000 USD","Binding Coverage"
"HS","H4","840","United States","580421","580421 --  -- Of man-made fibres","410","Korea, Rep.",2014,2014,"CMT","AHS",0,0,0,0,0,1,0,0,1381.5,
"HS","H4","840","United States","580610","580610 --  - Woven pile fabrics (including terry t","410","Korea, Rep.",2013,2013,"CMT","AHS",1.05,1.05,1.82,0,4.2,4,0,0,3293.92,
"HS","H4","840","United States","580632","580632 --  -- Of man-made fibres","410","Korea, Rep.",2012,2012,"CMT","AHS",6.1,6.1,0.1,6,6.2,2,0,0,13668.28,
"HS","H4","840","United States","580710","580710 --  - Woven","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,3,0,0,1665.897,
"HS","H4","840","United States","580890","580890 --  - Other","410","Korea, Rep.",2012,2012,"CMT","AHS",3.9,3.9,0,3.9,3.9,1,0,0,8.016,
"HS","H4","840","United States","581010","581010 --  - Embroidery without visible ground","410","Korea, Rep.",2014,2014,"CMT","AHS",0,0,0,0,0,1,0,0,91.844,
"HS","H4","840","United States","581099","581099 --  -- Of other textile materials","410","Korea, Rep.",2014,2014,"CMT","AHS",0,0,0,0,0,2,0,0,3.141,
"HS","H4","840","United States","590190","590190 --  - Other","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,2,0,0,1360.93,
"HS","H4","840","United States","590310","590310 --  - With poly(vinyl chloride)","410","Korea, Rep.",2012,2012,"CMT","AHS",4.5,4.5,4.97,0,14.1,6,0,0,38021.48,
"HS","H4","840","United States","590390","590390 --  - Other","410","Korea, Rep.",2014,2014,"CMT","AHS",0.5,0.5,1.12,0,3,6,0,0,18746.699,
"HS","H4","840","United States","590691","590691 --  -- Knitted or crocheted","410","Korea, Rep.",2012,2012,"CMT","AHS",3.22,3.22,2.7,0,7.5,4,0,0,480.801,
"HS","H4","840","United States","590700","590700 --  Textile fabrics otherwise impregnated, ","410","Korea, Rep.",2014,2014,"CMT","AHS",0,0,0,0,0,6,0,0,2799.201,
